Info 104  [18:5:15.528] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 105  [18:5:15.532] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 28 structureChanged: false Elapsed: 3ms
Info 106  [18:5:15.532] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 107  [18:5:15.739] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 108  [18:5:15.746] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 29 structureChanged: false Elapsed: 7ms
Info 109  [18:5:15.746] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 110  [18:5:16.933] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 111  [18:5:16.936] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 30 structureChanged: false Elapsed: 3ms
Info 112  [18:5:16.936] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 113  [18:5:18.633] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 114  [18:5:18.637] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 31 structureChanged: false Elapsed: 4ms
Info 115  [18:5:18.637] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 116  [18:5:19.796] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 117  [18:5:19.801] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 32 structureChanged: false Elapsed: 5ms
Info 118  [18:5:19.801] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 119  [18:5:19.855] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 120  [18:5:19.860] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 33 structureChanged: false Elapsed: 5ms
Info 121  [18:5:19.860] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 122  [18:5:20.617] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 123  [18:5:20.622] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 34 structureChanged: false Elapsed: 5ms
Info 124  [18:5:20.622] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 125  [18:5:20.841] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 126  [18:5:20.848] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 35 structureChanged: false Elapsed: 7ms
Info 127  [18:5:20.848] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 128  [18:5:37.429] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 129  [18:5:37.436] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 36 structureChanged: false Elapsed: 7ms
Info 130  [18:5:37.436] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 131  [18:5:37.755] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
